Name,Description,Location,Location On Hand,Location Committed,Location Available
249-01-4182,Parsons -Barstool with -Buttons-Light Gray K8126F2255,KFHQ,,,
249-01-4185,Parsons -Barstool with -Buttons-Dark Gray K8125F2253,KFNJ,,,
249-01-4185,Parsons -Barstool with -Buttons-Dark Gray K8125F2253,KFHQ,,,
249-01-4186,Parsons Counterstool with -Buttons-Teal K8125F2256,KFHQ,,,
249-01-4186,Parsons Counterstool with -Buttons-Teal K8125F2256,KFNJ,,,
249-01-4187,Parsons counterstool with -Buttons--Beige K8125F2257,KFHQ,,,
249-01-4187,Parsons counterstool with -Buttons--Beige K8125F2257,KFNJ,,,
249-01-4188,Parsons Counterstool with -Buttons-Light GrayK8125F2255,KFNJ,,,
249-01-4188,Parsons Counterstool with -Buttons-Light GrayK8125F2255,KFHQ,,,
249-01-4194,Rumford  -Barstool-Dart Gray K6411F2258,KFNJ,,,
249-01-4194,Rumford  -Barstool-Dart Gray K6411F2258,KFHQ,,,
249-01-4195,Rumford  -Barstool-Dart Gray K6643F2258,KFHQ,,,
249-01-4195,Rumford  -Barstool-Dart Gray K6643F2258,KFNJ,,,
249-01-5331,#NAME?,KFNJ,,,
249-01-5331,#NAME?,KFHQ,,,
249-01-6631,CNTR -BAR STO TH Navy Natural  K6643F2176,KFNJ,,,
249-01-6631,CNTR -BAR STO TH Navy Natural  K6643F2176,KFHQ,,,
249-01-6635,"CNTR -BAR STO TH COGNAC -BLACK 24"" K6643E899",KFHQ,,,
249-01-6635,"CNTR -BAR STO TH COGNAC -BLACK 24"" K6643E899",KFNJ,,,
249-01-6636,"CNTR -BAR STO TH COGNAC -BLACK 29"" K6411E899",KFNJ,,,
249-01-6636,"CNTR -BAR STO TH COGNAC -BLACK 29"" K6411E899",KFHQ,,,
249-01-6637,"CNTR -BAR STO TH ESPR -BLACK 24"" K6643E697",KFHQ,,,
249-01-6637,"CNTR -BAR STO TH ESPR -BLACK 24"" K6643E697",KFNJ,,,
249-01-6638,"CNTR -BAR STO TH ESPR -BLACK 29"" K6411E697",KFNJ,,,
249-01-6638,"CNTR -BAR STO TH ESPR -BLACK 29"" K6411E697",KFHQ,,,
249-01-7376,"24"" Stacking Counter Stool - Navy (SKY43-50) - Room Essentials (2pk) FA K8195F2394",KFNJ,,,
249-01-7376,"24"" Stacking Counter Stool - Navy (SKY43-50) - Room Essentials (2pk) FA K8195F2394",KFHQ,,,
249-01-7786,Threshold K8186E899,KFHQ,,,
249-01-7786,Threshold K8186E899,KFNJ,,,
249-01-8359,"24"" Stacking Counter Stool - Taupe (SKY 43- 3) - Room Essentials (2pk) K8195F2391",KFNJ,,,
249-01-8359,"24"" Stacking Counter Stool - Taupe (SKY 43- 3) - Room Essentials (2pk) K8195F2391",KFHQ,,,
249-01-8390,TH Counter stool CongncK8125E899,KFHQ,,,
249-01-8390,TH Counter stool CongncK8125E899,KFNJ,,,
249-01-8422,Tru-Beck Square Metal & Upholstered Counter Stool - Grey PU - Project 62 K8186E903,KFNJ,,,
249-01-8422,Tru-Beck Square Metal & Upholstered Counter Stool - Grey PU - Project 62 K8186E903,KFHQ,,,
249-01-9697,"24"" Stacking Counter Stool - Gray (SKY43-9) - Room Essentials (2pk) K8195F2392",KFNJ,,,
249-01-9697,"24"" Stacking Counter Stool - Gray (SKY43-9) - Room Essentials (2pk) K8195F2392",KFHQ,,,
249-02-0070,Value Parsons Dining Chair with -Buttons-Slate K8122F2255,KFNJ,,,
249-02-0070,Value Parsons Dining Chair with -Buttons-Slate K8122F2255,KFHQ,,,
249-02-0302,TH Dining chair CognacK8122E899,KFHQ,,,
249-02-0302,TH Dining chair CognacK8122E899,KFNJ,,,
249-02-3500,Lowell Wing-Back Dining Chair1 PK-Ash (-Beige)  K8118F2259,KFNJ,,,
249-02-3500,Lowell Wing-Back Dining Chair1 PK-Ash (-Beige)  K8118F2259,KFHQ,,,
249-02-3501,Lowell Wing-Back Dining Chair1 PK-Granite (Gray) K8118F2253,KFHQ,,,
249-02-3501,Lowell Wing-Back Dining Chair1 PK-Granite (Gray) K8118F2253,KFNJ,,,
249-02-3504,Value Parsons Dining Chair with -Buttons-Denim (Navy) K8122F2254,KFHQ,,,
249-02-3504,Value Parsons Dining Chair with -Buttons-Denim (Navy) K8122F2254,KFNJ,,,
249-02-3506,Value Parsons Dining Chair with -Buttons-Turquoise (Teal) K8122F2256,KFHQ,,,
249-02-3506,Value Parsons Dining Chair with -Buttons-Turquoise (Teal) K8122F2256,KFNJ,,,
249-02-3508,Value Parsons Dining Chair with -Buttons-Ash (Light Gray) K8122F2253,KFNJ,,,
249-02-3508,Value Parsons Dining Chair with -Buttons-Ash (Light Gray) K8122F2253,KFHQ,,,
249-02-7968,TH Dining chair GreyK8122E903,KFHQ,,,
249-02-7968,TH Dining chair GreyK8122E903,KFNJ,,,
249-08-2343,Nasua Settee -Bench with short -Back K8155-B282,KFHQ,,,
249-08-2343,Nasua Settee -Bench with short -Back K8155-B282,KFNJ,,,
249-12-0002,2021 C4 Round Ottoman K8208F2413,KFNJ,,,
249-12-0002,2021 C4 Round Ottoman K8208F2413,KFHQ,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFHQ : KFHQQU,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFNJ,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFHQ,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFNJ : KFNJQU,,,
249-12-0050,Round Ottoman K8202F2403,KFNJ,,,
249-12-0050,Round Ottoman K8202F2403,KFHQ,,,
249-12-0055,Tru-Beck Tufted Metal -Base Ottoman - Gray Velvet with -Brass - Project 62 K8176-B301,KFHQ,,,
249-12-0055,Tru-Beck Tufted Metal -Base Ottoman - Gray Velvet with -Brass - Project 62 K8176-B301,KFNJ,,,
249-12-0065,TH Ottoman  Wht/ RedK8203F2401,KFHQ,,,
249-12-0065,TH Ottoman  Wht/ RedK8203F2401,KFNJ,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFNJ : KFNJQU,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFHQ : KFHQQU,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFNJ,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFHQ,,,
249-12-0118,Essex -Basic Storage -Bench - Chocolate Faux Leather - Threshold K8113E208,KFNJ,,,
249-12-0118,Essex -Basic Storage -Bench - Chocolate Faux Leather - Threshold K8113E208,KFHQ,,,
249-12-0133,Essex Dou-Ble Storage Ottoman - Camel PU - Threshold K8113E904,KFNJ,,,
249-12-0133,Essex Dou-Ble Storage Ottoman - Camel PU - Threshold K8113E904,KFHQ,,,
249-12-0416,Large Storage ottoman -  K6444F1554-1,KFHQ,,,
249-12-0416,Large Storage ottoman -  K6444F1554-1,KFNJ,,,
249-12-0863,TH Storage Ottoman Indigo K8113F2395,KFHQ,,,
249-12-0863,TH Storage Ottoman Indigo K8113F2395,KFNJ,,,
249-12-1161,TH Ottomans -Blue K8116F2132,KFNJ,,,
249-12-1161,TH Ottomans -Blue K8116F2132,KFHQ,,,
249-12-1389,thrshd Rnd tufd ottmn txtrd w gry k6150F2318,KFNJ,,,
249-12-1389,thrshd Rnd tufd ottmn txtrd w gry k6150F2318,KFHQ,,,
249-12-1391,"Shoe Storage ottoman --Black, Y218 WO Shoe insert K7660E629",KFNJ,,,
249-12-1391,"Shoe Storage ottoman --Black, Y218 WO Shoe insert K7660E629",KFHQ,,,
249-12-1625,Tufted ottoman --Brown K4201E622,KFHQ,,,
249-12-1625,Tufted ottoman --Brown K4201E622,KFNJ,,,
249-12-1627,shoe storage ottoman K7660E697,KFHQ,,,
249-12-1627,shoe storage ottoman K7660E697,KFNJ,,,
249-12-1636,Tufted ottoman K4201F1511,KFHQ,,,
249-12-1636,Tufted ottoman K4201F1511,KFNJ,,,
249-12-1652,Ottoman x cu-Be K6114F1425,KFNJ,,,
249-12-1652,Ottoman x cu-Be K6114F1425,KFHQ,,,
249-12-2107,#NAME?,KFNJ,,,
249-12-2107,#NAME?,KFHQ,,,
249-12-2111,Thrshd Davis Tftd Lg Strg Ottmn GRAY K6444F2111,KFHQ,,,
249-12-2111,Thrshd Davis Tftd Lg Strg Ottmn GRAY K6444F2111,KFNJ,,,
249-12-2309,TH Dou-Ble Storage ottoman K8113F2397,KFHQ,,,
249-12-2309,TH Dou-Ble Storage ottoman K8113F2397,KFNJ,,,
249-12-2357,TH Storage Ottoman Indigo K8149F2395,KFNJ,,,
249-12-2357,TH Storage Ottoman Indigo K8149F2395,KFHQ,,,
249-12-2684,STO OTTOMAN TH CREAM K4201F2104,KFNJ,,,
249-12-2684,STO OTTOMAN TH CREAM K4201F2104,KFHQ,,,
249-12-2888,Threshold Storage ottoman K8149F2195,KFHQ,,,
249-12-2888,Threshold Storage ottoman K8149F2195,KFNJ,,,
249-12-3596,Pamona Round Ottoman K8150F2332,KFHQ,,,
249-12-3596,Pamona Round Ottoman K8150F2332,KFNJ,,,
249-12-3792,Dou-Ble Storage ottoman -Black  K8113E704,KFHQ,,,
249-12-3792,Dou-Ble Storage ottoman -Black  K8113E704,KFNJ,,,
249-12-3914,Tufted All Over Ottoman - Velvet Cream K8116-B257,KFNJ,,,
249-12-3914,Tufted All Over Ottoman - Velvet Cream K8116-B257,KFHQ,,,
249-12-3915,Tufted All Over Ottoman - Velvet -Blush K8116-B258,KFHQ,,,
249-12-3915,Tufted All Over Ottoman - Velvet -Blush K8116-B258,KFNJ,,,
249-12-3916,Tufted All Over Ottoman - Velvet Turquoise K8116-B259,KFHQ,,,
249-12-3916,Tufted All Over Ottoman - Velvet Turquoise K8116-B259,KFNJ,,,
249-12-3927,Single Storage Ottoman - -Black Faux Leather - Threshold K8123E704,KFNJ,,,
249-12-3927,Single Storage Ottoman - -Black Faux Leather - Threshold K8123E704,KFHQ,,,
249-12-3928,Single Storage Ottoman - -Brown Faux Leather - Threshold K8123E697,KFHQ,,,
249-12-3928,Single Storage Ottoman - -Brown Faux Leather - Threshold K8123E697,KFNJ,,,
249-12-4500,Ottomans K8135F2359,KFHQ,,,
249-12-4500,Ottomans K8135F2359,KFNJ,,,
249-12-4760,Pamona Round Ottoman - Gray K8150F2232,KFNJ,,,
249-12-4760,Pamona Round Ottoman - Gray K8150F2232,KFHQ,,,
249-12-4761,Frankford Tufted Storage Ottoman - Cream with Natural Legs K8154F2315,KFHQ,,,
249-12-4761,Frankford Tufted Storage Ottoman - Cream with Natural Legs K8154F2315,KFNJ,,,
249-12-4762,Glenmont Storage Ottoman - Gray K8167F2317,KFHQ,,,
249-12-4762,Glenmont Storage Ottoman - Gray K8167F2317,KFNJ,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFNJ,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFHQ : KFHQQU,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFNJ : KFNJQU,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFHQ,,,
249-12-5334,Caroline Tufted Upholstered Ottoman - Velvet Navy K8116-B256,KFHQ,,,
249-12-5334,Caroline Tufted Upholstered Ottoman - Velvet Navy K8116-B256,KFNJ,,,
249-12-5370,Ottomans K8176E899,KFNJ,,,
249-12-5370,Ottomans K8176E899,KFHQ,,,
249-12-5772,-Benches Project 62GRAY K8180F2385,KFNJ,,,
249-12-5772,-Benches Project 62GRAY K8180F2385,KFHQ,,,
249-12-5773,-Benches Project 62 -BRN K8180F2384,KFNJ,,,
249-12-5773,-Benches Project 62 -BRN K8180F2384,KFHQ,,,
249-12-5818,-Bench Project 62 -Brown K8183E899,KFHQ,,,
249-12-5818,-Bench Project 62 -Brown K8183E899,KFNJ,,,
249-12-6557,TH ottomans Cream K8203F2402,KFHQ,,,
249-12-6557,TH ottomans Cream K8203F2402,KFNJ,,,
249-12-7245,Irvington Wood Trim Storage -Bench - -Beige - Threshold K8188F2389,KFHQ,,,
249-12-7245,Irvington Wood Trim Storage -Bench - -Beige - Threshold K8188F2389,KFNJ,,,
249-12-7406,Tru-Beck Tufted Metal -Base -Bench - Gray Velvet with -Brass - Project 62 K8183-B301,KFNJ,,,
249-12-7406,Tru-Beck Tufted Metal -Base -Bench - Gray Velvet with -Brass - Project 62 K8183-B301,KFHQ,,,
249-12-7735,Arthur Tufted Storage -Bench - Spice - P62 K8180F2406,KFHQ,,,
249-12-7735,Arthur Tufted Storage -Bench - Spice - P62 K8180F2406,KFNJ,,,
249-12-7764,Essex single -Basic Storage -Bench - Chocolate Faux leather - Threshold K8149E208,KFNJ,,,
249-12-7764,Essex single -Basic Storage -Bench - Chocolate Faux leather - Threshold K8149E208,KFHQ,,,
249-12-8068,Rectangular ottoman with ta-Ble K8201F2108,KFHQ,,,
249-12-8068,Rectangular ottoman with ta-Ble K8201F2108,KFNJ,,,
249-12-8125,Irvington Wood Trim Storage -Bench - white - Threshold K8188F2390,KFHQ,,,
249-12-8125,Irvington Wood Trim Storage -Bench - white - Threshold K8188F2390,KFNJ,,,
249-12-8587,Tru-Beck Tufted Metal -Base Ottoman - Gray Faux Leather with -Black - Project 62 K8176E903,KFHQ,,,
249-12-8587,Tru-Beck Tufted Metal -Base Ottoman - Gray Faux Leather with -Black - Project 62 K8176E903,KFNJ,,,
249-12-8790,TH Ottoman Flax K8116F2067,KFHQ,,,
249-12-8790,TH Ottoman Flax K8116F2067,KFNJ,,,
249-12-9012,Tru-Beck Tufted Metal -Base -Bench - Gray Faux Leather with -Black - Project 62 K8183E903,KFNJ,,,
249-12-9012,Tru-Beck Tufted Metal -Base -Bench - Gray Faux Leather with -Black - Project 62 K8183E903,KFHQ,,,
249-12-9065,TH ottoman -Blk/ whtK8203F2400,KFNJ,,,
249-12-9065,TH ottoman -Blk/ whtK8203F2400,KFHQ,,,
249-12-9284,TH Storage ottoman Liene K8149F2397,KFNJ,,,
249-12-9284,TH Storage ottoman Liene K8149F2397,KFHQ,,,
249-12-9294,K8192E899,KFNJ,,,
249-12-9294,K8192E899,KFHQ,,,
249-94-0091,"Saddle Stool 24"" Gray  K6643F1549",KFHQ,,,
249-94-0091,"Saddle Stool 24"" Gray  K6643F1549",KFNJ,,,
355743,PARSONS DINING CHAIR- W/NAIL HEADS,KFNJ,,,
355743,PARSONS DINING CHAIR- W/NAIL HEADS,KFHQ,,,
400338384139,KLEIN OTTOMAN CHOC BROWN 93SNROT01 K7342-E902,KFNJ,,,
400338384139,KLEIN OTTOMAN CHOC BROWN 93SNROT01 K7342-E902,KFHQ,,,
400338384146,KLEIN OTTOMAN COGNAC 93SNROT01 K7342-E897,KFHQ,,,
400338384146,KLEIN OTTOMAN COGNAC 93SNROT01 K7342-E897,KFNJ,,,
400338384160,KLEIN OTTOMAN FLAX 93SNROT01 K7342-F1507,KFHQ,,,
400338384160,KLEIN OTTOMAN FLAX 93SNROT01 K7342-F1507,KFNJ,,,
400338384177,KLEIN OTTOMAN GRY FLANNL 93SNROT01 K7342-F2375,KFNJ,,,
400338384177,KLEIN OTTOMAN GRY FLANNL 93SNROT01 K7342-F2375,KFHQ,,,
400338384184,KLEIN OTTOMAN MEDALLION 93SNROT01 K7342-A832,KFHQ,,,
400338384184,KLEIN OTTOMAN MEDALLION 93SNROT01 K7342-A832,KFNJ,,,
400462741297,MADISON OTTOMAN COGNAC 93SNROT02 K5739-E897,KFNJ,,,
400462741297,MADISON OTTOMAN COGNAC 93SNROT02 K5739-E897,KFHQ,,,
400462741303,MADISON OTTOMAN DARK BROW 93SNROT02 K5739-E902,KFNJ,,,
400462741303,MADISON OTTOMAN DARK BROW 93SNROT02 K5739-E902,KFHQ,,,
400462741310,MADISON OTTOMAN FLAX 93SNROT02 K5739-F1507,KFHQ,,,
400462741310,MADISON OTTOMAN FLAX 93SNROT02 K5739-F1507,KFNJ,,,
400462741327,MADISON OTTOMAN GRAY 93SNROT02 K5739-F2375,KFNJ,,,
400462741327,MADISON OTTOMAN GRAY 93SNROT02 K5739-F2375,KFHQ,,,
400462741334,MADISON OTTOMAN NAVY BLUE 93SNROT02 K5739-F2110,KFNJ,,,
400462741334,MADISON OTTOMAN NAVY BLUE 93SNROT02 K5739-F2110,KFHQ,,,
40919546,CAMAS ROUND OTTOMAN,KFHQ,,,
40919546,CAMAS ROUND OTTOMAN,KFNJ,,,
44414849,KINFINE ROUND SHERPA STORAGE OTTOMAN,KFHQ,,,
44414849,KINFINE ROUND SHERPA STORAGE OTTOMAN,KFNJ,,,
655258858264,Backless Barstool K7699.24-F2262K,KFNJ,,,
655258858264,Backless Barstool K7699.24-F2262K,KFHQ,,,
825893,PARSON'S BAR STOOL-29IN W/NAIL HEAD,KFNJ,,,
825893,PARSON'S BAR STOOL-29IN W/NAIL HEAD,KFHQ,,,
ALLOWANCE/COOP,ALLOWANCE,- None -,,,
CA Sales Tax,CA Sales Tax,- None -,,,
CHARGEBACK,CHARGEBACK,- None -,,,
K1136-#44,HomePop Parsons Dining Chair - Cream and Red Toile,KFHQ,29,9,20
K1136-#44,HomePop Parsons Dining Chair - Cream and Red Toile,KFNJ,32,20,12
K1136-#44,HomePop Parsons Dining Chair - Cream and Red Toile,KFTS,,,
K1136-44,- None -,- None -,,,
K1136-F662,HomePop Parsons Dining Chair - Blue and Brown Damask,KFHQ,,,
K1136-F662,HomePop Parsons Dining Chair - Blue and Brown Damask,KFNJ,3,3,
K1136-F765,HomePop Parsons Dining Chair - Red and Gold Damask,KFNJ,283,31,252
K1136-F765,HomePop Parsons Dining Chair - Red and Gold Damask,KFHQ,363,12,351
K1136-F772,HomePop Parsons Dining Chair - Crosshatch Brown,KFHQ,148,2,146
K1136-F772,HomePop Parsons Dining Chair - Crosshatch Brown,KFNJ,214,14,200
K1136-F975,HomePop Parsons Dining Chair - Textured Sage Floral Chenille,KFNJ,49,38,11
K1136-F975,HomePop Parsons Dining Chair - Textured Sage Floral Chenille,KFHQ,105,17,88
K1401-24-E073,"24"" luxury black faux leather barstool",KFHQ,165,,165
K1401-24-E073,"24"" luxury black faux leather barstool",KFNJ,162,11,151
K1401-24-E074,"24"" luxury brown faux leather barstool",KFNJ,,,
K1401-24-E074,"24"" luxury brown faux leather barstool",KFHQ,74,17,57
K1401-29-E073,"29"" luxury black faux leather barstool",KFHQ,180,5,175
K1401-29-E073,"29"" luxury black faux leather barstool",KFNJ,50,2,48
K1401-29-E074,"29"" luxury brown faux leather barstool",KFHQ,5,3,2
K1401-29-E074,"29"" luxury brown faux leather barstool",KFNJ,,,
K1401.24-YDQY-2,"HomePop 24"" luxury faux leather barstool - Distressed Brown Faux Leather",KFNJ,180,,180
K1401.24-YDQY-2,"HomePop 24"" luxury faux leather barstool - Distressed Brown Faux Leather",KFHQ,188,,188
K1401.29-F772,"29"" contempory upholstered Parsons barstool",KFHQ,29,2,27
K1401.29-F772,"29"" contempory upholstered Parsons barstool",KFNJ,18,5,13
K2380-E155,Luxury Large Brown Faux Leather Storage Ottoman,KFNJ,166,21,145
K2380-E155,Luxury Large Brown Faux Leather Storage Ottoman,KFHQ,555,11,544
K2380-E169,Luxury Large Black Faux Leather Storage Ottoman,KFHQ,,,
K2380-E169,Luxury Large Black Faux Leather Storage Ottoman,KFNJ,351,69,282
K2380-E903,HomePop Luxury Large  Faux Leather Storage Ottoman - Gray Faux Leather,KFNJ : KFNJQU,3,,
K2380-E903,HomePop Luxury Large  Faux Leather Storage Ottoman - Gray Faux Leather,KFNJ,,,
K2380-E903,HomePop Luxury Large  Faux Leather Storage Ottoman - Gray Faux Leather,KFHQ,53,26,27
K2380-F1399,HomePop Luxury Large Storage Ottoman - Tan Woven,KFHQ,62,1,61
K2380-F1399,HomePop Luxury Large Storage Ottoman - Tan Woven,KFNJ,,,
K2380-F2207,HomePop Luxury Large Storage Ottoman - Linen-like Tan Woven,KFNJ,100,,100
K2380-F2207,HomePop Luxury Large Storage Ottoman - Linen-like Tan Woven,KFHQ,48,,48
K2380-YDQY-2,HomePop Luxury Large  Faux Leather Storage Ottoman - Distressed Brown Faux Leather,KFHQ,40,1,39
K2380-YDQY-2,HomePop Luxury Large  Faux Leather Storage Ottoman - Distressed Brown Faux Leather,KFNJ,59,1,58
K2984-A835,HomePop Meredith Dining Chair - Patterned Indigo,KFNJ,,,
K2984-A835,HomePop Meredith Dining Chair - Patterned Indigo,KFHQ,12,5,7
K2984-A836,HomePop Meredith Dining Chair - Dove Floral,KFHQ,7,2,5
K2984-A836,HomePop Meredith Dining Chair - Dove Floral,KFNJ,48,2,46
K2984-A837,HomePop Meredith Dining Chair - Navy Floral,KFHQ,40,,40
K2984-A837,HomePop Meredith Dining Chair - Navy Floral,KFNJ,63,,63
K2984-F2275,HomePop Meredith Dining Chair - Indigo,KFNJ,75,3,72
K2984-F2275,HomePop Meredith Dining Chair - Indigo,KFHQ,143,,143
K2984-F2322,HomePop Meredith Anywhere Chair - Stain Resistant Cream Fabric,KFHQ,97,,97
K2984-F2322,HomePop Meredith Anywhere Chair - Stain Resistant Cream Fabric,KFNJ,46,4,42
K3334-E155,Kids Faux Leather Accent Chair with Rolled Arms,KFHQ,18,3,15
K3334-E155,Kids Faux Leather Accent Chair with Rolled Arms,KFNJ,29,3,26
K4004.24,"24"" Tristan Counter Stool",KFNJ,,,
K4004.24,"24"" Tristan Counter Stool",KFHQ,25,24,1
K4004.24-F2111,"24"" Tristan Metal Counter Stool - Black",KFNJ,228,18,210
K4004.24-F2111,"24"" Tristan Metal Counter Stool - Black",KFHQ,,,
K4234-F1568,HomePop Decorative Pet Bed Chaise Lounger,KFNJ,49,,49
K4234-F1568,HomePop Decorative Pet Bed Chaise Lounger,KFHQ,105,,105
K4286-E844,"24"" Faux Leather Square Counter Stool",KFNJ,72,,72
K4286-E844,"24"" Faux Leather Square Counter Stool",KFHQ,51,1,50
K4286-E846,"24"" Faux Leather Square Counter Stool",KFHQ,61,5,56
K4286-E846,"24"" Faux Leather Square Counter Stool",KFNJ,,,
K4286-E848,"24"" Faux Leather Square Counter Stool",KFHQ,11,,11
