Name,Description,Location,Location On Hand,Location Committed,Location Available
124288481,ROXBURY STRIPED BENCH,KFNJ,,,
124288481,ROXBURY STRIPED BENCH,KFDS,,,
124288481,ROXBURY STRIPED BENCH,KFHQ,,,
124351196,Jasmine Linen Ottoman Nat Kd,KFHQ : KFHQQU,,,
124351196,Jasmine Linen Ottoman Nat Kd,KFHQ,,,
124351196,Jasmine Linen Ottoman Nat Kd,KFNJ : KFNJQU,,,
124351196,Jasmine Linen Ottoman Nat Kd,KFNJ,,,
124351196,Jasmine Linen Ottoman Nat Kd,KFDS,,,
124351197,Jasmine Linen Ottoman Char Kd,KFDS,,,
124351197,Jasmine Linen Ottoman Char Kd,KFNJ,,,
124351197,Jasmine Linen Ottoman Char Kd,KFHQ : KFHQQU,,,
124351197,Jasmine Linen Ottoman Char Kd,KFHQ,,,
124351197,Jasmine Linen Ottoman Char Kd,KFNJ : KFNJQU,,,
124351198,Roxbury Striped Bench Kd,KFNJ : KFNJQU,,,
124351198,Roxbury Striped Bench Kd,KFDS,,,
124351198,Roxbury Striped Bench Kd,KFHQ,,,
124351198,Roxbury Striped Bench Kd,KFNJ,,,
124351198,Roxbury Striped Bench Kd,KFHQ : KFHQQU,,,
249-01-0009,"Saddle Stool 29"" Gray  K6411F1549",KFNJ,,,
249-01-0009,"Saddle Stool 29"" Gray  K6411F1549",KFHQ,,,
249-01-0009,"Saddle Stool 29"" Gray  K6411F1549",KFDS,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFNJ : KFNJQU,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFNJ,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFDS,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFHQ : KFHQQU,,,
249-01-0011,"Saddle Stool 24"" Gray  K6643F1549",KFHQ,,,
249-01-0027,TH -Barstool CognacK8126E899,KFNJ,,,
249-01-0027,TH -Barstool CognacK8126E899,KFDS,,,
249-01-0027,TH -Barstool CognacK8126E899,KFHQ,,,
249-01-0240,Saddle  Counterstool  K6643F1507,KFHQ,,,
249-01-0240,Saddle  Counterstool  K6643F1507,KFNJ,,,
249-01-0240,Saddle  Counterstool  K6643F1507,KFDS,,,
249-01-0241,Saddle -Barstool K6411F1507,KFHQ,,,
249-01-0241,Saddle -Barstool K6411F1507,KFDS,,,
249-01-0241,Saddle -Barstool K6411F1507,KFNJ,,,
249-01-0345,Tru-Beck Square Metal & Upholstered Counter Stool - Grey Velvet w -Brass - Project 62 K8186-B301,KFNJ,,,
249-01-0345,Tru-Beck Square Metal & Upholstered Counter Stool - Grey Velvet w -Brass - Project 62 K8186-B301,KFDS,,,
249-01-0345,Tru-Beck Square Metal & Upholstered Counter Stool - Grey Velvet w -Brass - Project 62 K8186-B301,KFHQ,,,
249-01-1794,Saddle counter stool  K6643-F2050,KFHQ,,,
249-01-1794,Saddle counter stool  K6643-F2050,KFDS,,,
249-01-1794,Saddle counter stool  K6643-F2050,KFNJ,,,
249-01-1796,saddle counter stool K6643F1507,KFDS,,,
249-01-1796,saddle counter stool K6643F1507,KFHQ,,,
249-01-1796,saddle counter stool K6643F1507,KFNJ,,,
249-01-1810,Saddle stool K6411F1507,KFHQ,,,
249-01-1810,Saddle stool K6411F1507,KFDS,,,
249-01-1810,Saddle stool K6411F1507,KFNJ,,,
249-01-1943,TH Hot Coffee Counter stool K8028E833,KFNJ,,,
249-01-1943,TH Hot Coffee Counter stool K8028E833,KFDS,,,
249-01-1943,TH Hot Coffee Counter stool K8028E833,KFHQ,,,
249-01-1966,TH Light Grey Counter stool K8028F1549,KFNJ,,,
249-01-1966,TH Light Grey Counter stool K8028F1549,KFDS,,,
249-01-1966,TH Light Grey Counter stool K8028F1549,KFHQ,,,
249-01-1967,TH -Barstool Grey K8027F1549,KFNJ,,,
249-01-1967,TH -Barstool Grey K8027F1549,KFHQ,,,
249-01-1967,TH -Barstool Grey K8027F1549,KFDS,,,
249-01-1970,Counter stool K8028E861,KFNJ,,,
249-01-1970,Counter stool K8028E861,KFHQ,,,
249-01-1970,Counter stool K8028E861,KFDS,,,
249-01-1971,TH Chocolate -Barstoo lK8027E861,KFHQ,,,
249-01-1971,TH Chocolate -Barstoo lK8027E861,KFDS,,,
249-01-1971,TH Chocolate -Barstoo lK8027E861,KFNJ,,,
249-01-2323,#NAME?,KFHQ,,,
249-01-2323,#NAME?,KFNJ,,,
249-01-2323,#NAME?,KFDS,,,
249-01-2580,Swival counter stool K8077F1549,KFNJ,,,
249-01-2580,Swival counter stool K8077F1549,KFHQ,,,
249-01-2580,Swival counter stool K8077F1549,KFDS,,,
249-01-3215,TH Counter stool GreyK8125E903,KFNJ,,,
249-01-3215,TH Counter stool GreyK8125E903,KFDS,,,
249-01-3215,TH Counter stool GreyK8125E903,KFHQ,,,
249-01-4175,Lowell Modified Wing-Back  Counter Stool -  Gray - Threshold K8124F2253,KFHQ,,,
249-01-4175,Lowell Modified Wing-Back  Counter Stool -  Gray - Threshold K8124F2253,KFDS,,,
249-01-4175,Lowell Modified Wing-Back  Counter Stool -  Gray - Threshold K8124F2253,KFNJ,,,
249-01-4176,Lowell Modified Wing-Back Counter Stool -  Navy - Threshold K8124F2254,KFHQ,,,
249-01-4176,Lowell Modified Wing-Back Counter Stool -  Navy - Threshold K8124F2254,KFNJ,,,
249-01-4176,Lowell Modified Wing-Back Counter Stool -  Navy - Threshold K8124F2254,KFDS,,,
249-01-4179,Parsons -Barstool with -Buttons-Dark Gray K8126F2253,KFDS,,,
249-01-4179,Parsons -Barstool with -Buttons-Dark Gray K8126F2253,KFNJ,,,
249-01-4179,Parsons -Barstool with -Buttons-Dark Gray K8126F2253,KFHQ,,,
249-01-4180,Parsons -Barstool with -Buttons-Teal K8126F2256,KFHQ,,,
249-01-4180,Parsons -Barstool with -Buttons-Teal K8126F2256,KFNJ,,,
249-01-4180,Parsons -Barstool with -Buttons-Teal K8126F2256,KFDS,,,
249-01-4182,Parsons -Barstool with -Buttons-Light Gray K8126F2255,KFNJ,,,
249-01-4182,Parsons -Barstool with -Buttons-Light Gray K8126F2255,KFDS,,,
249-01-4182,Parsons -Barstool with -Buttons-Light Gray K8126F2255,KFHQ,,,
249-01-4185,Parsons -Barstool with -Buttons-Dark Gray K8125F2253,KFNJ,,,
249-01-4185,Parsons -Barstool with -Buttons-Dark Gray K8125F2253,KFDS,,,
249-01-4185,Parsons -Barstool with -Buttons-Dark Gray K8125F2253,KFHQ,,,
249-01-4186,Parsons Counterstool with -Buttons-Teal K8125F2256,KFDS,,,
249-01-4186,Parsons Counterstool with -Buttons-Teal K8125F2256,KFNJ,,,
249-01-4186,Parsons Counterstool with -Buttons-Teal K8125F2256,KFHQ,,,
249-01-4187,Parsons counterstool with -Buttons--Beige K8125F2257,KFHQ,,,
249-01-4187,Parsons counterstool with -Buttons--Beige K8125F2257,KFDS,,,
249-01-4187,Parsons counterstool with -Buttons--Beige K8125F2257,KFNJ,,,
249-01-4188,Parsons Counterstool with -Buttons-Light GrayK8125F2255,KFHQ,,,
249-01-4188,Parsons Counterstool with -Buttons-Light GrayK8125F2255,KFNJ,,,
249-01-4188,Parsons Counterstool with -Buttons-Light GrayK8125F2255,KFDS,,,
249-01-4194,Rumford  -Barstool-Dart Gray K6411F2258,KFHQ,,,
249-01-4194,Rumford  -Barstool-Dart Gray K6411F2258,KFDS,,,
249-01-4194,Rumford  -Barstool-Dart Gray K6411F2258,KFNJ,,,
249-01-4195,Rumford  -Barstool-Dart Gray K6643F2258,KFHQ,,,
249-01-4195,Rumford  -Barstool-Dart Gray K6643F2258,KFDS,,,
249-01-4195,Rumford  -Barstool-Dart Gray K6643F2258,KFNJ,,,
249-01-5331,#NAME?,KFDS,,,
249-01-5331,#NAME?,KFHQ,,,
249-01-5331,#NAME?,KFNJ,,,
249-01-6631,CNTR -BAR STO TH Navy Natural  K6643F2176,KFNJ,,,
249-01-6631,CNTR -BAR STO TH Navy Natural  K6643F2176,KFDS,,,
249-01-6631,CNTR -BAR STO TH Navy Natural  K6643F2176,KFHQ,,,
249-01-6635,"CNTR -BAR STO TH COGNAC -BLACK 24"" K6643E899",KFHQ,,,
249-01-6635,"CNTR -BAR STO TH COGNAC -BLACK 24"" K6643E899",KFNJ,,,
249-01-6635,"CNTR -BAR STO TH COGNAC -BLACK 24"" K6643E899",KFDS,,,
249-01-6636,"CNTR -BAR STO TH COGNAC -BLACK 29"" K6411E899",KFNJ,,,
249-01-6636,"CNTR -BAR STO TH COGNAC -BLACK 29"" K6411E899",KFDS,,,
249-01-6636,"CNTR -BAR STO TH COGNAC -BLACK 29"" K6411E899",KFHQ,,,
249-01-6637,"CNTR -BAR STO TH ESPR -BLACK 24"" K6643E697",KFNJ,,,
249-01-6637,"CNTR -BAR STO TH ESPR -BLACK 24"" K6643E697",KFDS,,,
249-01-6637,"CNTR -BAR STO TH ESPR -BLACK 24"" K6643E697",KFHQ,,,
249-01-6638,"CNTR -BAR STO TH ESPR -BLACK 29"" K6411E697",KFDS,,,
249-01-6638,"CNTR -BAR STO TH ESPR -BLACK 29"" K6411E697",KFNJ,,,
249-01-6638,"CNTR -BAR STO TH ESPR -BLACK 29"" K6411E697",KFHQ,,,
249-01-7376,"24"" Stacking Counter Stool - Navy (SKY43-50) - Room Essentials (2pk) FA K8195F2394",KFDS,,,
249-01-7376,"24"" Stacking Counter Stool - Navy (SKY43-50) - Room Essentials (2pk) FA K8195F2394",KFNJ,,,
249-01-7376,"24"" Stacking Counter Stool - Navy (SKY43-50) - Room Essentials (2pk) FA K8195F2394",KFHQ,,,
249-01-7786,Threshold K8186E899,KFHQ,,,
249-01-7786,Threshold K8186E899,KFDS,,,
249-01-7786,Threshold K8186E899,KFNJ,,,
249-01-8359,"24"" Stacking Counter Stool - Taupe (SKY 43- 3) - Room Essentials (2pk) K8195F2391",KFDS,,,
249-01-8359,"24"" Stacking Counter Stool - Taupe (SKY 43- 3) - Room Essentials (2pk) K8195F2391",KFHQ,,,
249-01-8359,"24"" Stacking Counter Stool - Taupe (SKY 43- 3) - Room Essentials (2pk) K8195F2391",KFNJ,,,
249-01-8390,TH Counter stool CongncK8125E899,KFNJ,,,
249-01-8390,TH Counter stool CongncK8125E899,KFDS,,,
249-01-8390,TH Counter stool CongncK8125E899,KFHQ,,,
249-01-8422,Tru-Beck Square Metal & Upholstered Counter Stool - Grey PU - Project 62 K8186E903,KFHQ,,,
249-01-8422,Tru-Beck Square Metal & Upholstered Counter Stool - Grey PU - Project 62 K8186E903,KFNJ,,,
249-01-8422,Tru-Beck Square Metal & Upholstered Counter Stool - Grey PU - Project 62 K8186E903,KFDS,,,
249-01-9697,"24"" Stacking Counter Stool - Gray (SKY43-9) - Room Essentials (2pk) K8195F2392",KFNJ,,,
249-01-9697,"24"" Stacking Counter Stool - Gray (SKY43-9) - Room Essentials (2pk) K8195F2392",KFDS,,,
249-01-9697,"24"" Stacking Counter Stool - Gray (SKY43-9) - Room Essentials (2pk) K8195F2392",KFHQ,,,
249-02-0070,Value Parsons Dining Chair with -Buttons-Slate K8122F2255,KFDS,,,
249-02-0070,Value Parsons Dining Chair with -Buttons-Slate K8122F2255,KFHQ,,,
249-02-0070,Value Parsons Dining Chair with -Buttons-Slate K8122F2255,KFNJ,,,
249-02-0302,TH Dining chair CognacK8122E899,KFDS,,,
249-02-0302,TH Dining chair CognacK8122E899,KFNJ,,,
249-02-0302,TH Dining chair CognacK8122E899,KFHQ,,,
249-02-3500,Lowell Wing-Back Dining Chair1 PK-Ash (-Beige)  K8118F2259,KFNJ,,,
249-02-3500,Lowell Wing-Back Dining Chair1 PK-Ash (-Beige)  K8118F2259,KFHQ,,,
249-02-3500,Lowell Wing-Back Dining Chair1 PK-Ash (-Beige)  K8118F2259,KFDS,,,
249-02-3501,Lowell Wing-Back Dining Chair1 PK-Granite (Gray) K8118F2253,KFNJ,,,
249-02-3501,Lowell Wing-Back Dining Chair1 PK-Granite (Gray) K8118F2253,KFHQ,,,
249-02-3501,Lowell Wing-Back Dining Chair1 PK-Granite (Gray) K8118F2253,KFDS,,,
249-02-3504,Value Parsons Dining Chair with -Buttons-Denim (Navy) K8122F2254,KFNJ,,,
249-02-3504,Value Parsons Dining Chair with -Buttons-Denim (Navy) K8122F2254,KFHQ,,,
249-02-3504,Value Parsons Dining Chair with -Buttons-Denim (Navy) K8122F2254,KFDS,,,
249-02-3506,Value Parsons Dining Chair with -Buttons-Turquoise (Teal) K8122F2256,KFHQ,,,
249-02-3506,Value Parsons Dining Chair with -Buttons-Turquoise (Teal) K8122F2256,KFNJ,,,
249-02-3506,Value Parsons Dining Chair with -Buttons-Turquoise (Teal) K8122F2256,KFDS,,,
249-02-3508,Value Parsons Dining Chair with -Buttons-Ash (Light Gray) K8122F2253,KFDS,,,
249-02-3508,Value Parsons Dining Chair with -Buttons-Ash (Light Gray) K8122F2253,KFHQ,,,
249-02-3508,Value Parsons Dining Chair with -Buttons-Ash (Light Gray) K8122F2253,KFNJ,,,
249-02-7968,TH Dining chair GreyK8122E903,KFHQ,,,
249-02-7968,TH Dining chair GreyK8122E903,KFNJ,,,
249-02-7968,TH Dining chair GreyK8122E903,KFDS,,,
249-08-2343,Nasua Settee -Bench with short -Back K8155-B282,KFHQ,,,
249-08-2343,Nasua Settee -Bench with short -Back K8155-B282,KFDS,,,
249-08-2343,Nasua Settee -Bench with short -Back K8155-B282,KFNJ,,,
249-12-0002,2021 C4 Round Ottoman K8208F2413,KFNJ,,,
249-12-0002,2021 C4 Round Ottoman K8208F2413,KFDS,,,
249-12-0002,2021 C4 Round Ottoman K8208F2413,KFHQ,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFNJ : KFNJQU,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFNJ,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFHQ,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFDS,,,
249-12-0013,Dou-Ble Storage ottoman -Brown  K8113E697,KFHQ : KFHQQU,,,
249-12-0050,Round Ottoman K8202F2403,KFHQ,,,
249-12-0050,Round Ottoman K8202F2403,KFDS,,,
249-12-0050,Round Ottoman K8202F2403,KFNJ,,,
249-12-0055,Tru-Beck Tufted Metal -Base Ottoman - Gray Velvet with -Brass - Project 62 K8176-B301,KFHQ,,,
249-12-0055,Tru-Beck Tufted Metal -Base Ottoman - Gray Velvet with -Brass - Project 62 K8176-B301,KFNJ,,,
249-12-0055,Tru-Beck Tufted Metal -Base Ottoman - Gray Velvet with -Brass - Project 62 K8176-B301,KFDS,,,
249-12-0065,TH Ottoman  Wht/ RedK8203F2401,KFHQ,,,
249-12-0065,TH Ottoman  Wht/ RedK8203F2401,KFNJ,,,
249-12-0065,TH Ottoman  Wht/ RedK8203F2401,KFDS,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFNJ,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFHQ : KFHQQU,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFNJ : KFNJQU,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFDS,,,
249-12-0087,Essex storage ottoman-Camel PU-Threshold K8149E904,KFHQ,,,
249-12-0118,Essex -Basic Storage -Bench - Chocolate Faux Leather - Threshold K8113E208,KFHQ,,,
249-12-0118,Essex -Basic Storage -Bench - Chocolate Faux Leather - Threshold K8113E208,KFNJ,,,
249-12-0118,Essex -Basic Storage -Bench - Chocolate Faux Leather - Threshold K8113E208,KFDS,,,
249-12-0133,Essex Dou-Ble Storage Ottoman - Camel PU - Threshold K8113E904,KFNJ,,,
249-12-0133,Essex Dou-Ble Storage Ottoman - Camel PU - Threshold K8113E904,KFHQ,,,
249-12-0133,Essex Dou-Ble Storage Ottoman - Camel PU - Threshold K8113E904,KFDS,,,
249-12-0416,Large Storage ottoman -  K6444F1554-1,KFNJ,,,
249-12-0416,Large Storage ottoman -  K6444F1554-1,KFHQ,,,
249-12-0416,Large Storage ottoman -  K6444F1554-1,KFDS,,,
249-12-0863,TH Storage Ottoman Indigo K8113F2395,KFHQ,,,
249-12-0863,TH Storage Ottoman Indigo K8113F2395,KFNJ,,,
249-12-0863,TH Storage Ottoman Indigo K8113F2395,KFDS,,,
249-12-1161,TH Ottomans -Blue K8116F2132,KFDS,,,
249-12-1161,TH Ottomans -Blue K8116F2132,KFNJ,,,
249-12-1161,TH Ottomans -Blue K8116F2132,KFHQ,,,
249-12-1389,thrshd Rnd tufd ottmn txtrd w gry k6150F2318,KFDS,,,
249-12-1389,thrshd Rnd tufd ottmn txtrd w gry k6150F2318,KFNJ,,,
249-12-1389,thrshd Rnd tufd ottmn txtrd w gry k6150F2318,KFHQ,,,
249-12-1391,"Shoe Storage ottoman --Black, Y218 WO Shoe insert K7660E629",KFHQ,,,
249-12-1391,"Shoe Storage ottoman --Black, Y218 WO Shoe insert K7660E629",KFNJ,,,
249-12-1391,"Shoe Storage ottoman --Black, Y218 WO Shoe insert K7660E629",KFDS,,,
249-12-1625,Tufted ottoman --Brown K4201E622,KFHQ,,,
249-12-1625,Tufted ottoman --Brown K4201E622,KFDS,,,
249-12-1625,Tufted ottoman --Brown K4201E622,KFNJ,,,
249-12-1627,shoe storage ottoman K7660E697,KFDS,,,
249-12-1627,shoe storage ottoman K7660E697,KFNJ,,,
249-12-1627,shoe storage ottoman K7660E697,KFHQ,,,
249-12-1636,Tufted ottoman K4201F1511,KFHQ,,,
249-12-1636,Tufted ottoman K4201F1511,KFDS,,,
249-12-1636,Tufted ottoman K4201F1511,KFNJ,,,
249-12-1652,Ottoman x cu-Be K6114F1425,KFDS,,,
249-12-1652,Ottoman x cu-Be K6114F1425,KFHQ,,,
249-12-1652,Ottoman x cu-Be K6114F1425,KFNJ,,,
249-12-2107,#NAME?,KFDS,,,
249-12-2107,#NAME?,KFHQ,,,
249-12-2107,#NAME?,KFNJ,,,
249-12-2111,Thrshd Davis Tftd Lg Strg Ottmn GRAY K6444F2111,KFHQ,,,
249-12-2111,Thrshd Davis Tftd Lg Strg Ottmn GRAY K6444F2111,KFNJ,,,
249-12-2111,Thrshd Davis Tftd Lg Strg Ottmn GRAY K6444F2111,KFDS,,,
249-12-2309,TH Dou-Ble Storage ottoman K8113F2397,KFHQ,,,
249-12-2309,TH Dou-Ble Storage ottoman K8113F2397,KFNJ,,,
249-12-2309,TH Dou-Ble Storage ottoman K8113F2397,KFDS,,,
249-12-2357,TH Storage Ottoman Indigo K8149F2395,KFNJ,,,
249-12-2357,TH Storage Ottoman Indigo K8149F2395,KFDS,,,
249-12-2357,TH Storage Ottoman Indigo K8149F2395,KFHQ,,,
249-12-2684,STO OTTOMAN TH CREAM K4201F2104,KFDS,,,
249-12-2684,STO OTTOMAN TH CREAM K4201F2104,KFNJ,,,
249-12-2684,STO OTTOMAN TH CREAM K4201F2104,KFHQ,,,
249-12-2888,Threshold Storage ottoman K8149F2195,KFNJ,,,
249-12-2888,Threshold Storage ottoman K8149F2195,KFDS,,,
249-12-2888,Threshold Storage ottoman K8149F2195,KFHQ,,,
249-12-3596,Pamona Round Ottoman K8150F2332,KFDS,,,
249-12-3596,Pamona Round Ottoman K8150F2332,KFHQ,,,
249-12-3596,Pamona Round Ottoman K8150F2332,KFNJ,,,
249-12-3792,Dou-Ble Storage ottoman -Black  K8113E704,KFNJ,,,
249-12-3792,Dou-Ble Storage ottoman -Black  K8113E704,KFDS,,,
249-12-3792,Dou-Ble Storage ottoman -Black  K8113E704,KFHQ,,,
249-12-3914,Tufted All Over Ottoman - Velvet Cream K8116-B257,KFNJ,,,
249-12-3914,Tufted All Over Ottoman - Velvet Cream K8116-B257,KFHQ,,,
249-12-3914,Tufted All Over Ottoman - Velvet Cream K8116-B257,KFDS,,,
249-12-3915,Tufted All Over Ottoman - Velvet -Blush K8116-B258,KFDS,,,
249-12-3915,Tufted All Over Ottoman - Velvet -Blush K8116-B258,KFNJ,,,
249-12-3915,Tufted All Over Ottoman - Velvet -Blush K8116-B258,KFHQ,,,
249-12-3916,Tufted All Over Ottoman - Velvet Turquoise K8116-B259,KFDS,,,
249-12-3916,Tufted All Over Ottoman - Velvet Turquoise K8116-B259,KFNJ,,,
249-12-3916,Tufted All Over Ottoman - Velvet Turquoise K8116-B259,KFHQ,,,
249-12-3927,Single Storage Ottoman - -Black Faux Leather - Threshold K8123E704,KFDS,,,
249-12-3927,Single Storage Ottoman - -Black Faux Leather - Threshold K8123E704,KFHQ,,,
249-12-3927,Single Storage Ottoman - -Black Faux Leather - Threshold K8123E704,KFNJ,,,
249-12-3928,Single Storage Ottoman - -Brown Faux Leather - Threshold K8123E697,KFNJ,,,
249-12-3928,Single Storage Ottoman - -Brown Faux Leather - Threshold K8123E697,KFDS,,,
249-12-3928,Single Storage Ottoman - -Brown Faux Leather - Threshold K8123E697,KFHQ,,,
249-12-4500,Ottomans K8135F2359,KFHQ,,,
249-12-4500,Ottomans K8135F2359,KFDS,399,399,
249-12-4500,Ottomans K8135F2359,KFNJ,,,
249-12-4760,Pamona Round Ottoman - Gray K8150F2232,KFHQ,,,
249-12-4760,Pamona Round Ottoman - Gray K8150F2232,KFNJ,,,
249-12-4760,Pamona Round Ottoman - Gray K8150F2232,KFDS,,,
249-12-4761,Frankford Tufted Storage Ottoman - Cream with Natural Legs K8154F2315,KFHQ,,,
249-12-4761,Frankford Tufted Storage Ottoman - Cream with Natural Legs K8154F2315,KFDS,,,
249-12-4761,Frankford Tufted Storage Ottoman - Cream with Natural Legs K8154F2315,KFNJ,,,
249-12-4762,Glenmont Storage Ottoman - Gray K8167F2317,KFHQ,,,
249-12-4762,Glenmont Storage Ottoman - Gray K8167F2317,KFDS,,,
249-12-4762,Glenmont Storage Ottoman - Gray K8167F2317,KFNJ,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFHQ : KFHQQU,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFNJ : KFNJQU,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFHQ,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFNJ,,,
249-12-5214,-Benches Project 62 -Blue K8180F2376,KFDS,555,555,
249-12-5334,Caroline Tufted Upholstered Ottoman - Velvet Navy K8116-B256,KFDS,,,
249-12-5334,Caroline Tufted Upholstered Ottoman - Velvet Navy K8116-B256,KFNJ,,,
249-12-5334,Caroline Tufted Upholstered Ottoman - Velvet Navy K8116-B256,KFHQ,,,
249-12-5370,Ottomans K8176E899,KFHQ,,,
249-12-5370,Ottomans K8176E899,KFNJ,,,
249-12-5370,Ottomans K8176E899,KFDS,2590,2449,141
249-12-5772,-Benches Project 62GRAY K8180F2385,KFDS,,,
249-12-5772,-Benches Project 62GRAY K8180F2385,KFNJ,,,
249-12-5772,-Benches Project 62GRAY K8180F2385,KFHQ,,,
249-12-5773,-Benches Project 62 -BRN K8180F2384,KFHQ,,,
249-12-5773,-Benches Project 62 -BRN K8180F2384,KFDS,,,
249-12-5773,-Benches Project 62 -BRN K8180F2384,KFNJ,,,
249-12-5818,-Bench Project 62 -Brown K8183E899,KFHQ,,,
249-12-5818,-Bench Project 62 -Brown K8183E899,KFNJ,,,
249-12-5818,-Bench Project 62 -Brown K8183E899,KFDS,114,114,
249-12-6557,TH ottomans Cream K8203F2402,KFDS,,,
249-12-6557,TH ottomans Cream K8203F2402,KFHQ,,,
249-12-6557,TH ottomans Cream K8203F2402,KFNJ,,,
249-12-7245,Irvington Wood Trim Storage -Bench - -Beige - Threshold K8188F2389,KFNJ,,,
249-12-7245,Irvington Wood Trim Storage -Bench - -Beige - Threshold K8188F2389,KFDS,,,
249-12-7245,Irvington Wood Trim Storage -Bench - -Beige - Threshold K8188F2389,KFHQ,,,
249-12-7406,Tru-Beck Tufted Metal -Base -Bench - Gray Velvet with -Brass - Project 62 K8183-B301,KFHQ,,,
249-12-7406,Tru-Beck Tufted Metal -Base -Bench - Gray Velvet with -Brass - Project 62 K8183-B301,KFNJ,,,
249-12-7406,Tru-Beck Tufted Metal -Base -Bench - Gray Velvet with -Brass - Project 62 K8183-B301,KFDS,,,
249-12-7735,Arthur Tufted Storage -Bench - Spice - P62 K8180F2406,KFHQ,,,
249-12-7735,Arthur Tufted Storage -Bench - Spice - P62 K8180F2406,KFNJ,,,
249-12-7735,Arthur Tufted Storage -Bench - Spice - P62 K8180F2406,KFDS,101,100,1
249-12-7764,Essex single -Basic Storage -Bench - Chocolate Faux leather - Threshold K8149E208,KFHQ,,,
